all_gap_point_count,layer,matched_gap_all_solver_success_percent,matched_gap_qualified_reference_percent,mean_corrected_segments,network_hds_acceptance_rate_percent,problem,qualified_gap_point_count,seed,selected_points
50,near_ood_0_10pct,0.9406838280256618,0.9406838280256618,2.8,100.0,penicillin,50,20260788,50
50,far_ood_10_20pct,3.3354093257417277,3.3354093257417277,3.0,100.0,penicillin,50,20260788,50
50,near_ood_0_10pct,1.3626368086953051,1.3626368086953051,3.0,100.0,penicillin,50,20260789,50
50,far_ood_10_20pct,3.9660564027701355,3.9660564027701355,3.0,100.0,penicillin,50,20260789,50
50,near_ood_0_10pct,1.1418641183527642,1.1418641183527642,3.0,100.0,penicillin,50,20260790,50
50,far_ood_10_20pct,3.567048386145964,3.567048386145964,3.0,100.0,penicillin,50,20260790,50
50,near_ood_0_10pct,1.0902726437572337,1.0902726437572337,2.9,100.0,penicillin,50,20260791,50
50,far_ood_10_20pct,2.9103524430167647,2.9103524430167647,3.0,100.0,penicillin,50,20260791,50
50,near_ood_0_10pct,1.2875878802933487,1.2875878802933487,3.0,100.0,penicillin,50,20260792,50
50,far_ood_10_20pct,3.9922980111676996,3.9922980111676996,3.0,100.0,penicillin,50,20260792,50
50,near_ood_0_10pct,1.085636183634184,1.085636183634184,3.0,100.0,penicillin,50,20260793,50
50,far_ood_10_20pct,3.397575815387053,3.397575815387053,3.0,100.0,penicillin,50,20260793,50
50,near_ood_0_10pct,1.641245078510089,1.641245078510089,2.76,100.0,penicillin,50,20260794,50
50,far_ood_10_20pct,4.976582781866456,4.976582781866456,3.12,100.0,penicillin,50,20260794,50
50,near_ood_0_10pct,1.498416417829497,1.498416417829497,3.0,100.0,penicillin,50,20260795,50
50,far_ood_10_20pct,4.9683981388910805,4.9683981388910805,3.0,100.0,penicillin,50,20260795,50
50,near_ood_0_10pct,1.1935939279145509,1.1935939279145509,2.9,100.0,penicillin,50,20260796,50
