accepted,benchmark,branch,fallback,final_max_g,hds_gap_percent,hds_gap_qualified286_percent,mean_corrected_segments,mean_hds_objective_change,mean_hds_seconds,mean_inference_seconds,mean_total_seconds,method,nominal_gap_percent,nominal_violation_rate_percent,post_hds_violation_rate_percent,qualified_reference_samples,samples,seed,source_checkpoint,source_metadata_rows
400,vdp,S-u,0,-3.3506894020485234e-07,0.3413353467272151,,0.54,0.010058112421380404,0.008375609500071733,2.8550000024551993e-06,0.008378464500074186,supervised,0.014730963219122262,53.25,0.0,,400,20260781,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed10_vdp_k10_cuda_20260803_v1\supervised\vdp\seed20260781\S-u.pth,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed30_vdp_k10_refined_lambda_cached_margin1e6_20260804_v1\supervised\vdp\seed20260781\test_per_sample_S-u.csv
400,vdp,S-u,0,-7.693576627831877e-06,0.2912927720548319,,0.485,0.00789951195768409,0.008162071749948154,3.350250008224975e-06,0.008165421999956377,supervised,0.026571687334451782,47.75,0.0,,400,20260782,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed10_vdp_k10_cuda_20260803_v1\supervised\vdp\seed20260782\S-u.pth,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed30_vdp_k10_refined_lambda_cached_margin1e6_20260804_v1\supervised\vdp\seed20260782\test_per_sample_S-u.csv
400,vdp,S-u,0,-9.784795329537133e-08,0.41205722793893373,,0.5925,0.012389659439751977,0.008349257000027137,3.2684999951015925e-06,0.008352525500022238,supervised,0.018933491020316617,57.99999999999999,0.0,,400,20260783,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed10_vdp_k10_cuda_20260803_v1\supervised\vdp\seed20260783\S-u.pth,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed30_vdp_k10_refined_lambda_cached_margin1e6_20260804_v1\supervised\vdp\seed20260783\test_per_sample_S-u.csv
400,vdp,S-u,0,-5.127720191011598e-06,0.3489516451544979,,0.495,0.009769589831547904,0.008228706000127204,2.5202500000887086e-06,0.00823122625012729,supervised,0.03392833312525915,49.25,0.0,,400,20260784,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed10_vdp_k10_cuda_20260803_v1\supervised\vdp\seed20260784\S-u.pth,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed30_vdp_k10_refined_lambda_cached_margin1e6_20260804_v1\supervised\vdp\seed20260784\test_per_sample_S-u.csv
400,vdp,S-u,0,-4.932570072613274e-06,0.491021939724546,,0.595,0.014991582351878302,0.008568408499959332,3.290250006102724e-06,0.008571698749965434,supervised,0.013396630374241424,59.5,0.0,,400,20260785,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed10_vdp_k10_cuda_20260803_v1\supervised\vdp\seed20260785\S-u.pth,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed30_vdp_k10_refined_lambda_cached_margin1e6_20260804_v1\supervised\vdp\seed20260785\test_per_sample_S-u.csv
400,vdp,S-u,0,-1.6008629112329587e-06,0.3737817203165471,,0.555,0.011171398483414108,0.008326860499892064,6.526249999296851e-06,0.008333386749891359,supervised,0.010091528792168649,55.00000000000001,0.0,,400,20260786,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed10_vdp_k10_cuda_20260803_v1\supervised\vdp\seed20260786\S-u.pth,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed30_vdp_k10_refined_lambda_cached_margin1e6_20260804_v1\supervised\vdp\seed20260786\test_per_sample_S-u.csv
400,vdp,S-u,0,-7.292809768633113e-06,0.3531533278004291,,0.56,0.010699344590431335,0.008288602499960688,3.3534999965922917e-06,0.008291955999957282,supervised,0.009747369351811206,55.25,0.0,,400,20260787,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed10_vdp_k10_cuda_20260803_v1\supervised\vdp\seed20260787\S-u.pth,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed30_vdp_k10_refined_lambda_cached_margin1e6_20260804_v1\supervised\vdp\seed20260787\test_per_sample_S-u.csv
400,vdp,S-u,0,-1.4202639200822098e-06,0.3792216116015761,,0.52,0.011451008565618107,0.00853482500006976,2.8762500005541368e-06,0.008537701250070315,supervised,0.015139155055635237,51.5,0.0,,400,20260788,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed10_vdp_k10_cuda_20260803_v1\supervised\vdp\seed20260788\S-u.pth,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed30_vdp_k10_refined_lambda_cached_margin1e6_20260804_v1\supervised\vdp\seed20260788\test_per_sample_S-u.csv
400,vdp,S-u,0,-8.267857883881291e-07,0.39332961346182516,,0.5775,0.011856450736735753,0.008490286500091315,2.634499996929662e-06,0.008492921000088244,supervised,0.01284521078998995,57.25,0.0,,400,20260789,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed10_vdp_k10_cuda_20260803_v1\supervised\vdp\seed20260789\S-u.pth,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed30_vdp_k10_refined_lambda_cached_margin1e6_20260804_v1\supervised\vdp\seed20260789\test_per_sample_S-u.csv
400,vdp,S-u,0,-8.85368472225423e-06,0.33308286702070683,,0.49,0.009757759717987561,0.008144762250094573,6.937000007383176e-06,0.008151699250101957,supervised,0.018167723925550383,48.75,0.0,,400,20260790,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed10_vdp_k10_cuda_20260803_v1\supervised\vdp\seed20260790\S-u.pth,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed30_vdp_k10_refined_lambda_cached_margin1e6_20260804_v1\supervised\vdp\seed20260790\test_per_sample_S-u.csv
400,vdp,S-u,0,-1.999221736215251e-06,0.3637294936458152,,0.5125,0.01083132568059855,0.008087644000024739,3.3894999978656416e-06,0.008091033500022606,supervised,0.016473946713910843,51.24999999999999,0.0,,400,20260791,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed_vdp_k10_cuda_seeds21_30_20260803_v1\supervised\vdp\seed20260791\S-u.pth,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed30_vdp_k10_refined_lambda_cached_margin1e6_20260804_v1\supervised\vdp\seed20260791\test_per_sample_S-u.csv
400,vdp,S-u,0,-3.228931880705499e-06,0.41461012438710415,,0.6325,0.013061477573283704,0.008284429500072292,2.592999999251332e-06,0.008287022500071541,supervised,-0.0018326143704047865,62.74999999999999,0.0,,400,20260792,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed_vdp_k10_cuda_seeds21_30_20260803_v1\supervised\vdp\seed20260792\S-u.pth,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed30_vdp_k10_refined_lambda_cached_margin1e6_20260804_v1\supervised\vdp\seed20260792\test_per_sample_S-u.csv
